n,senc,Hanning,hw[n]
0,0.012541507,0.516025789,0.006471741
1,0.008531261,0.548011513,0.004675229
2,0.001285589,0.579799948,0.000745385
3,-0.007083656,0.611260467,-0.004329959
4,-0.013895738,0.642263793,-0.00892473
5,-0.01671672,0.672682527,-0.011245045
6,-0.014171442,0.702391672,-0.009953903
7,-0.0064969,0.731269145,-0.004750982
8,0.004358881,0.759196284,0.003309246
9,0.015165528,0.78605833,0.01192099
10,0.022285833,0.811744901,0.018090411
11,0.02277642,0.836150445,0.019044513
12,0.015406569,0.859174675,0.013236934
13,0.001286862,0.880722979,0.001133369
14,-0.016112421,0.900706811,-0.014512568
15,-0.031615703,0.919044052,-0.029056224
16,-0.039546302,0.935659352,-0.037001867
17,-0.035195192,0.950484434,-0.033452482
18,-0.016176998,0.963458379,-0.015585864
19,0.016696926,0.974527874,0.01627162
20,0.059289815,0.983647432,0.058320274
21,0.104832392,0.990779578,0.103865793
22,0.145302445,0.995895007,0.14470598
23,0.173172842,0.998972696,0.17299494
24,0.183105469,1,0.183105469
25,0.173172842,0.998972696,0.17299494
26,0.145302445,0.995895007,0.14470598
27,0.104832392,0.990779578,0.103865793
28,0.059289815,0.983647432,0.058320274
29,0.016696926,0.974527874,0.01627162
30,-0.016176998,0.963458379,-0.015585864
31,-0.035195192,0.950484434,-0.033452482
32,-0.039546302,0.935659352,-0.037001867
33,-0.031615703,0.919044052,-0.029056224
34,-0.016112421,0.900706811,-0.014512568
35,0.001286862,0.880722979,0.001133369
36,0.015406569,0.859174675,0.013236934
37,0.02277642,0.836150445,0.019044513
38,0.022285833,0.811744901,0.018090411
39,0.015165528,0.78605833,0.01192099
40,0.004358881,0.759196284,0.003309246
41,-0.0064969,0.731269145,-0.004750982
42,-0.014171442,0.702391672,-0.009953903
43,-0.01671672,0.672682527,-0.011245045
44,-0.013895738,0.642263793,-0.00892473
45,-0.007083656,0.611260467,-0.004329959
46,0.001285589,0.579799948,0.000745385
47,0.008531261,0.548011513,0.004675229
48,0.012541507,0.516025789,0.006471741
